username,review,nilai,sentimen
Slamet Mulyono,"Pengisian data premium tidak bisa, khususnya kolom pekerjaan, tolong diperbaiki, mo kirim screenshot gk ada menu nya",2,negatif
Laras Ayas,oke,5,positif
Slamet Mulyono,"Pengisian data premium tidak bisa, khususnya kolom pekerjaan, tolong diperbaiki, mo kirim screenshot gk ada menu nya",2,negatif
Rinda Febiyanti8,"Kenapa aku dah pesen tiket udah bayar juga pakai KAIPay kok E-Tiket nya gak mau keluar ya padahal kemarin"" pesan bisa keluar",2,negatif
firhan fauzan,Lebih baik,5,positif
Utep Zaelani,Bgis bnyak membantu,5,positif
Rinda Febiyanti8,"Kenapa aku dah pesen tiket udah bayar juga pakai KAIPay kok E-Tiket nya gak mau keluar ya padahal kemarin"" pesan bisa keluar",2,negatif
Antok Ray,Ntar q tambah bintangx kloo ... Q punya kendala top up dana k kaipay via kaspro kok gak masuk ... Q komplain k kaspro ...katax suruh hub k call center KAI ..tapi q tau nomer atau akun call center KAI ... Gimna bisa kasih solusi gak KAI,3,negatif
Antok Ray,Ntar q tambah bintangx kloo ... Q punya kendala top up dana k kaipay via kaspro kok gak masuk ... Q komplain k kaspro ...katax suruh hub k call center KAI ..tapi q tau nomer atau akun call center KAI ... Gimna bisa kasih solusi gak KAI,3,negatif
maulana iskandar Muda,Metode pembayaran tidak lengkap. Pesan tiket jadi rumit,1,negatif
Sumardi Pairan,Good,5,positif
maulana iskandar Muda,Metode pembayaran tidak lengkap. Pesan tiket jadi rumit,1,negatif
Steven Arwana,"Aplikasi penting tpi buruk, lag terus semoga diperbaiki",1,negatif
Saeful Arifin,"Pilihan baik bepergian jauh dengan moda transportasi kereta api indonesia , dan gunakan aplikasi KAIAcces tentunya 🚂🚃🚃🚃🚃🚃 , pelayanan cs@kai 👍",5,positif
Saeful Arifin,"Pilihan baik bepergian jauh dengan moda transportasi kereta api indonesia , dan gunakan aplikasi KAIAcces tentunya 🚂🚃🚃🚃🚃🚃 , pelayanan cs@kai 👍",5,positif
Ampel Denta,Ok,5,positif
Steven Arwana,"Aplikasi penting tpi buruk, lag terus semoga diperbaiki",1,negatif
Fauzan Ali Syahbana,Lemot,1,negatif
Libravina Vina,"Aplikasi apa ini, saya sudah daftar aku tapi gak bisa pesan tiket selalu gagal",1,negatif
Libravina Vina,"Aplikasi apa ini, saya sudah daftar aku tapi gak bisa pesan tiket selalu gagal",1,negatif
tri aditya,Tiap pesan tiket antar kota kalau pagi susah di akses,1,negatif
Is Mila,Ok,5,positif
siti heriyati52,Sejak Pandemik kami gak pernah naik KA.lagi,5,positif
siti heriyati52,Sejak Pandemik kami gak pernah naik KA.lagi,5,positif
tri aditya,Tiap pesan tiket antar kota kalau pagi susah di akses,1,negatif
Almas Khonsa D.,"Ada yang sama kaya aku gak? Mau login tapi selalu invalid token padahal nmr tlpn dan pass udah bener, udah hubungi csnya udah dibantu reset tp ko tetep aja invalid token... Pdhl sinyal udah bagus dan pass pun udah bener",1,negatif
elisabet rosa,"Perasaan dulu gak pernah ada masalah pake aplikasi tiap beli tiket. Nah sekarang gak tau kenapa tiap mau pesen dan lanjut ke pembayaran mesti loading lama kalo gak tiba"" keluar sendiri dr aplikasi dan mesti ulang pamesanan dr awal lagi dan keluar lagi beberapa kali. Padahal ya udh diupgrade sama uninstall dan install ulang tapi tetep aja. Bukanya tambah bener tapi malah bikin kesel sendiri. Tolonglah diperbaiki sebagai pengguna KA yg tiap kali ke luar kota jadi ribet",1,negatif
elisabet rosa,"Perasaan dulu gak pernah ada masalah pake aplikasi tiap beli tiket. Nah sekarang gak tau kenapa tiap mau pesen dan lanjut ke pembayaran mesti loading lama kalo gak tiba"" keluar sendiri dr aplikasi dan mesti ulang pamesanan dr awal lagi dan keluar lagi beberapa kali. Padahal ya udh diupgrade sama uninstall dan install ulang tapi tetep aja. Bukanya tambah bener tapi malah bikin kesel sendiri. Tolonglah diperbaiki sebagai pengguna KA yg tiap kali ke luar kota jadi ribet",1,negatif
Iwan Samrani,"Setelah ada update untuk pesan tiket ga pernah bisa krn aplikasi tidak menanggapi, sudah uninstal - instal ulang berkali2...pakai hp lain..ga ada perubahan. Sudah DM2an lewat twiter dgn KAI121 dan ngikutin sarannya ga bisa jg.. mestinya segera diperbaiki krn ulasan di play store sdh banyak yg komplain, pengguna lain jg banyak yg mengalami..moga2 aja tim IT nya KAI bs gercep.",2,negatif
Iwan Samrani,"Setelah ada update untuk pesan tiket ga pernah bisa krn aplikasi tidak menanggapi, sudah uninstal - instal ulang berkali2...pakai hp lain..ga ada perubahan. Sudah DM2an lewat twiter dgn KAI121 dan ngikutin sarannya ga bisa jg.. mestinya segera diperbaiki krn ulasan di play store sdh banyak yg komplain, pengguna lain jg banyak yg mengalami..moga2 aja tim IT nya KAI bs gercep.",2,negatif
Muhammad Alfaris Kurniawan,Tidak bisa login padahal password sudah benar dan sudah ganti password,1,negatif
Muhammad Alfaris Kurniawan,Tidak bisa login padahal password sudah benar dan sudah ganti password,1,negatif
Petrus Hartanto,Setiap login disuruh aktivasi. Setiap link aktivasi diklik gagal terus katanya belum aktivasi atau sudah teraktivasi sebelumnya dan disuruh login lagi. Begitu seterusnya... Tolong diperbaiki aplikasinya. Thanks,1,negatif
Petrus Hartanto,Setiap login disuruh aktivasi. Setiap link aktivasi diklik gagal terus katanya belum aktivasi atau sudah teraktivasi sebelumnya dan disuruh login lagi. Begitu seterusnya... Tolong diperbaiki aplikasinya. Thanks,1,negatif
Orang People,Lag,1,negatif
Khaeruli Aditya,Lemot sekali,1,negatif
Khaeruli Aditya,Lemot sekali,1,negatif
Khaeruli Aditya,Lemot sekali,1,negatif
Komarul Arifin,Ndak berfaedah,1,negatif
Hari Setiyono,"Sangat membantu para pensiunan untuk mendapatkan diskon 20% bagi lansia, terima kasih KAI",5,positif
Hari Setiyono,"Sangat membantu para pensiunan untuk mendapatkan diskon 20% bagi lansia, terima kasih KAI",5,positif
nasgor mantap,Kppa kita masuk akun kita klik malah ngk bisa,1,negatif
nasgor mantap,Kppa kita masuk akun kita klik malah ngk bisa,1,negatif
Ariya Adi Surabaya,Aplikasi SOMPLAK waktu pembayaran leletnya minta ampun sampai layar freeze. Waktu pemesanan sampai abis pun gak gerak aplikasinya. Uda coba reinstal pun masih tetep sama. Hapus cache restart HP masih tetep sama. Aplikasi yang lain gak ada yg lelet kya gini. Bkin emosi aja... Device : Redmi Note 8x,1,negatif
ahmad marpu,ok bngt,5,positif
Aldea Widjaya dan Riska Devi,Good...,5,positif
Ariya Adi Surabaya,Aplikasi SOMPLAK waktu pembayaran leletnya minta ampun sampai layar freeze. Waktu pemesanan sampai abis pun gak gerak aplikasinya. Uda coba reinstal pun masih tetep sama. Hapus cache restart HP masih tetep sama. Aplikasi yang lain gak ada yg lelet kya gini. Bkin emosi aja... Device : Redmi Note 8x,1,negatif
Wihar Diman,Gak bs login,3,negatif
yuni prihati,sangat mudah cara pembelian tiket KAI dan pembayarannya,5,positif
yuni prihati,sangat mudah cara pembelian tiket KAI dan pembayarannya,5,positif
suwandi,"Praktis, mudah, ekonomis",5,positif
suwandi,"Praktis, mudah, ekonomis",5,positif
Rafay Khalid,Joossss,4,positif
Felistyno Noor,KAI Access sangat membantu dan mempermudah dlm pemesanan tiket KAI.,4,positif
Felistyno Noor,KAI Access sangat membantu dan mempermudah dlm pemesanan tiket KAI.,4,positif
Ali Martopo,"Barusan install KAI Access untuk perubahan jadwal keberangkatan. Aplikasi nya sangat mengesankan. Terasa smooth, loading juga cepat. Ada beberapa pilihan metode pembayaran yang memudahkan para pengguna jasa KA. Excellent app.👍👍",5,positif
Ali Martopo,"Barusan install KAI Access untuk perubahan jadwal keberangkatan. Aplikasi nya sangat mengesankan. Terasa smooth, loading juga cepat. Ada beberapa pilihan metode pembayaran yang memudahkan para pengguna jasa KA. Excellent app.👍👍",5,positif
Jessica Aprilia,"Sangat sangat mengecewakan, pembayaran gagal tapi saldo KAIpay tetap terpotong. Menghubungi admin via WA lama tidak ada respon",1,negatif
Jessica Aprilia,"Sangat sangat mengecewakan, pembayaran gagal tapi saldo KAIpay tetap terpotong. Menghubungi admin via WA lama tidak ada respon",1,negatif
Bk Elektrik,"Aplikasi payahhh.... Mingkin lama, bukan mingkin baik... Ada freeze, force close... & njengkelin2 lainnya...",1,negatif
yulianto raharjo,"Alhamdulillah Aplikasi ini sangat membantu dalam informasi dan pemesanan tiket KAI.Prosesnya pun Alhamdulillah sangat mudah.Sayangnya saat pembayaran atau pembatalan tiket,Aplikasi ini tidak mensupport Bank BTN dan BSI.Sehingga jadi agak menyulitkan pembayarannya.Padahal inginnya bisa sepenuhnya transaksi melalui aplikasi ini. Mohon KAI segera mensupport Bank BTN dan BSI agar transaksi kami bisa full melalui aplikasi KAI ini. Terima kasih atas kemudahannya.",5,positif
yulianto raharjo,"Alhamdulillah Aplikasi ini sangat membantu dalam informasi dan pemesanan tiket KAI.Prosesnya pun Alhamdulillah sangat mudah.Sayangnya saat pembayaran atau pembatalan tiket,Aplikasi ini tidak mensupport Bank BTN dan BSI.Sehingga jadi agak menyulitkan pembayarannya.Padahal inginnya bisa sepenuhnya transaksi melalui aplikasi ini. Mohon KAI segera mensupport Bank BTN dan BSI agar transaksi kami bisa full melalui aplikasi KAI ini. Terima kasih atas kemudahannya.",5,positif
Bk Elektrik,"Aplikasi payahhh.... Mingkin lama, bukan mingkin baik... Ada freeze, force close... & njengkelin2 lainnya...",1,negatif
UDIN TUYUL,gak bisa perbuhan tiket atau pembatalan tiket di KA LOKAL kenapa ya,3,negatif
UDIN TUYUL,gak bisa perbuhan tiket atau pembatalan tiket di KA LOKAL kenapa ya,3,negatif
Mas Winarti,Gimana mau UBAH NIK yg salah aja ber bulan bulan eror. Aplikasinya menyebalkan. Jd gak bs pesan lewat APP,1,negatif
Mas Winarti,Gimana mau UBAH NIK yg salah aja ber bulan bulan eror. Aplikasinya menyebalkan. Jd gak bs pesan lewat APP,1,negatif
ridwan malik,"Ada beberapa kendala aplikasi,. seperti Ubah no hp g bs,. Menu ada yg tidak bisa diacces.",3,negatif
ridwan malik,"Ada beberapa kendala aplikasi,. seperti Ubah no hp g bs,. Menu ada yg tidak bisa diacces.",3,negatif
Rain Zarin,Tiba tiba lemot bgt... Jadi susah mau pesen tikrt,2,negatif
Rain Zarin,Tiba tiba lemot bgt... Jadi susah mau pesen tikrt,2,negatif
Bang Raden zaki,Pelayanan jelek sekali masa saya buka pintu gerbong belakang cuman bukain doang padahal kereta ya gk jalan masa di tunjukin kan gk sopan sama customer customer adalah raja di stasiun Nganjuk satpam ya pada sok kayak gini lama lama kelamaan jadi malas menggunakan kai access tolong di benerin layanan ya terutama security jangan sok jagoan,1,negatif
Bang Raden zaki,Pelayanan jelek sekali masa saya buka pintu gerbong belakang cuman bukain doang padahal kereta ya gk jalan masa di tunjukin kan gk sopan sama customer customer adalah raja di stasiun Nganjuk satpam ya pada sok kayak gini lama lama kelamaan jadi malas menggunakan kai access tolong di benerin layanan ya terutama security jangan sok jagoan,1,negatif
Andhika_rfnazs,"Respon call center tidak ada, via WA juga tidak ada dm IG juga tidak ada jawaban",1,negatif
Andhika_rfnazs,"Respon call center tidak ada, via WA juga tidak ada dm IG juga tidak ada jawaban",1,negatif
justice,"Kok bisa se lemot ini ya aplikasinya, meresahkan padahal udah pake WiFi juga se lemot ituuuw",1,negatif
justice,"Kok bisa se lemot ini ya aplikasinya, meresahkan padahal udah pake WiFi juga se lemot ituuuw",1,negatif
Zuzud Eko W,"Lama gak buka aplikasi ini, sekali nya buka malah loading terus gak bisa cek jadwalnya. Apa emang lagi gangguan???",4,negatif
Zuzud Eko W,"Lama gak buka aplikasi ini, sekali nya buka malah loading terus gak bisa cek jadwalnya. Apa emang lagi gangguan???",4,negatif
Dhea ayu Faizaa,dari dulu download udh di update ttp ga bs login tiap sandi bener tulisannya invalid token.,1,negatif
Nazzalal Furqoen,"Kasih bintang 4 aj,loadingnya lemot,yg lain bagus sihh",4,negatif
Nazzalal Furqoen,"Kasih bintang 4 aj,loadingnya lemot,yg lain bagus sihh",4,negatif
Mochamad Sofyan,Aplikasinya tidak bisa digunakan.. Setelah pilih kursi dan mau discroll untuk lanjut ke pembayaran tidak bisa.. Dan langsung keluar sendiri.. Tolong diperbaiki.. Terima kasih,1,negatif
Mochamad Sofyan,Aplikasinya tidak bisa digunakan.. Setelah pilih kursi dan mau discroll untuk lanjut ke pembayaran tidak bisa.. Dan langsung keluar sendiri.. Tolong diperbaiki.. Terima kasih,1,negatif
eko mulyadi,untuk pemesanan kereta bandara YIA kok belum bisa ya.. KA bandara adanya cuma JAKARTA DAN MEDAN SAJA,4,negatif
eko mulyadi,untuk pemesanan kereta bandara YIA kok belum bisa ya.. KA bandara adanya cuma JAKARTA DAN MEDAN SAJA,4,negatif
eko mulyadi,untuk pemesanan kereta bandara YIA kok belum bisa ya.. KA bandara adanya cuma JAKARTA DAN MEDAN SAJA,4,negatif
donni setiawan,"Saya sudah download baru mau proses install sampai sehari gak selesai, ada masalah apa ya, kenapa saya tdk bisa install?",2,negatif
donni setiawan,"Saya sudah download baru mau proses install sampai sehari gak selesai, ada masalah apa ya, kenapa saya tdk bisa install?",2,negatif
02_Arkhamawan Naufal Putra,Min tolong kasih tau dong gimana cara login nya sudah pake dua akun padahal,1,negatif
02_Arkhamawan Naufal Putra,Min tolong kasih tau dong gimana cara login nya sudah pake dua akun padahal,1,negatif
Sofia,"Akun lama dan hp lama sy hilang , sy buat akun baru lagi kok GK bisa,email yg lama muncul GK bisa dihapus,no hp pun yg lm,mau daftar buat baru GK bisa ,gimana solusinya?",4,negatif
Sofia,"Akun lama dan hp lama sy hilang , sy buat akun baru lagi kok GK bisa,email yg lama muncul GK bisa dihapus,no hp pun yg lm,mau daftar buat baru GK bisa ,gimana solusinya?",4,negatif
Sofia,"Akun lama dan hp lama sy hilang , sy buat akun baru lagi kok GK bisa,email yg lama muncul GK bisa dihapus,no hp pun yg lm,mau daftar buat baru GK bisa ,gimana solusinya?",4,negatif
Dhino Ar,"Tolong min tambahkan fitur/metode ganti nomor telepon di akun KAI ACCESS, Karna saya ingin mengganti nomor saya di akun KAI, nomor telepon saya yang di akun KAI sudah tidak aktif, saya ingin mengganti nomor tersebut tapi tidak bisa. Jadi tolong min tambahin fitur/metode ganti nomor telepon.",1,negatif
Dhino Ar,"Tolong min tambahkan fitur/metode ganti nomor telepon di akun KAI ACCESS, Karna saya ingin mengganti nomor saya di akun KAI, nomor telepon saya yang di akun KAI sudah tidak aktif, saya ingin mengganti nomor tersebut tapi tidak bisa. Jadi tolong min tambahin fitur/metode ganti nomor telepon.",1,negatif
Yumi Z,Nomer hp kenapa ga bisa diubah anehh sekali,1,negatif
m. socha,Bagus memudahkan cari tiket kereta.gampang tuku tiket e,5,positif
m. socha,Bagus memudahkan cari tiket kereta.gampang tuku tiket e,5,positif
Yumi Z,Nomer hp kenapa ga bisa diubah anehh sekali,1,negatif
Kharisma Wardhatul,"Parah banget. Aplikasi ini sangat penting padahal, apalagi sekarang tiket dll ada disini. Kalo lemot kayak gini gimana??? Saya bahkan kehilangan kursi gara2 pesen ngelag terus. Tolong diperbaiki sistemnya !!!!!!!",1,negatif
Kharisma Wardhatul,"Parah banget. Aplikasi ini sangat penting padahal, apalagi sekarang tiket dll ada disini. Kalo lemot kayak gini gimana??? Saya bahkan kehilangan kursi gara2 pesen ngelag terus. Tolong diperbaiki sistemnya !!!!!!!",1,negatif
fani fadilah,"Udah di update,milih tempat duduk selalu crash, aplikasinya sekarang lambat",1,negatif
fani fadilah,"Udah di update,milih tempat duduk selalu crash, aplikasinya sekarang lambat",1,negatif
Ina Lailatul,"Waktu log in katanya email belum terdaftar, giliran daftar katanya email sudah terdaftar, ini maksudnya gimana sih. Habis update kok malah dipersulit Tolong dong kai,, ini kenapa,??? Saya mau log out g bisa",1,negatif
Ina Lailatul,"Waktu log in katanya email belum terdaftar, giliran daftar katanya email sudah terdaftar, ini maksudnya gimana sih. Habis update kok malah dipersulit Tolong dong kai,, ini kenapa,??? Saya mau log out g bisa",1,negatif
Lailiyatul Muyasaroh,Sy isi saldo KAI pay ga masuk2 sudah 2 harian masih belum masuk ke akun saya. Apakah ada tanggapan dari aplikatornya kenapa hal ini bisa terjadi!!,3,negatif
Lailiyatul Muyasaroh,Sy isi saldo KAI pay ga masuk2 sudah 2 harian masih belum masuk ke akun saya. Apakah ada tanggapan dari aplikatornya kenapa hal ini bisa terjadi!!,3,negatif
Bram Rahardian,"Udah sampai di pemesanan, waktunya bayar tiba2 keluar sendiri (log out) dan harus pesan dari awal. Dan berulangkali terus seperti ini. Sangat mengecewakan, harus diperbaiki",1,negatif
Nona Siti,👍,5,netral
Bram Rahardian,"Udah sampai di pemesanan, waktunya bayar tiba2 keluar sendiri (log out) dan harus pesan dari awal. Dan berulangkali terus seperti ini. Sangat mengecewakan, harus diperbaiki",1,negatif
Kalee Code,"Lambat, selalu ngelag, padahal sebelumnya lancar2 saja. Ada apa ini?",1,negatif
sumarjana ipi,"Sip, pelayanan baik",5,positif
Kalee Code,"Lambat, selalu ngelag, padahal sebelumnya lancar2 saja. Ada apa ini?",1,negatif
Kalee Code,"Lambat, selalu ngelag, padahal sebelumnya lancar2 saja. Ada apa ini?",1,negatif
Andika marthayuana,mau aktivasi kai pay sllu kembali trus gak bisa aktivasi,1,negatif
Andika marthayuana,mau aktivasi kai pay sllu kembali trus gak bisa aktivasi,1,negatif
Elsa Amelia,"Mau pesen tiket aja ribet banget,aplikasi lemot parah,banyak bug,gabisa dipencet.",1,negatif
Gita Arrofiawati,good,5,positif
Elsa Amelia,"Mau pesen tiket aja ribet banget,aplikasi lemot parah,banyak bug,gabisa dipencet.",1,negatif
Kisna Maulana,"sebenarnya pesen kereta lwatkai lebih enak simpel tapi loadingnya lama bikin males pakai,semoga ada perbaikan untuk kedepannya",2,negatif
Karyono Gareng,Test dulu semoga lancar tidak ada masalah🙏🙏,3,netral
Kisna Maulana,"sebenarnya pesen kereta lwatkai lebih enak simpel tapi loadingnya lama bikin males pakai,semoga ada perbaikan untuk kedepannya",2,negatif
Kisna Maulana,"sebenarnya pesen kereta lwatkai lebih enak simpel tapi loadingnya lama bikin males pakai,semoga ada perbaikan untuk kedepannya",2,negatif
Seftio Agung Pancoleksono,Aplikasi sering mengalami gangguan+ tambah ribet kalo mau beli harus mengetik secara manual. Lebih bagus versi sebelumnya,1,negatif
Seftio Agung Pancoleksono,Aplikasi sering mengalami gangguan+ tambah ribet kalo mau beli harus mengetik secara manual. Lebih bagus versi sebelumnya,1,negatif
Zahra Warsono,Sering banget eror heran deh. Kenapa si udah di update masih eror mulu?,1,negatif
Yusmin Semi,Sangat membatu say dalam pemesana tiket KA,5,positif
Yusmin Semi,Sangat membatu say dalam pemesana tiket KA,5,positif
Zahra Warsono,Sering banget eror heran deh. Kenapa si udah di update masih eror mulu?,1,negatif
M Fd,Semakin lama kok semakin ribet mau mbayar aja kok ribet skrng tombol bayar tidak bisa ✋⛔🚫,1,negatif
M Fd,Semakin lama kok semakin ribet mau mbayar aja kok ribet skrng tombol bayar tidak bisa ✋⛔🚫,1,negatif
Evfa Andawiyah,Untuk layanan pemesanan dan bisa ganti² nomer tempat duduk sih oke. Untuk masalah pembayaran nya masih suka eror ya!!! Masih banyak kendala tolong perbaiki lagi dengan baik!,2,negatif
Evfa Andawiyah,Untuk layanan pemesanan dan bisa ganti² nomer tempat duduk sih oke. Untuk masalah pembayaran nya masih suka eror ya!!! Masih banyak kendala tolong perbaiki lagi dengan baik!,2,negatif
Evfa Andawiyah,Untuk layanan pemesanan dan bisa ganti² nomer tempat duduk sih oke. Untuk masalah pembayaran nya masih suka eror ya!!! Masih banyak kendala tolong perbaiki lagi dengan baik!,2,negatif
Nurbeni Harimukti,"Aplikasi KAI yang sekarang metode pembayarannya hanya ada 2 gak seperti yang lama, malah bikin pengguna jadi mikir worth it apa kagak.",1,negatif
Nurbeni Harimukti,"Aplikasi KAI yang sekarang metode pembayarannya hanya ada 2 gak seperti yang lama, malah bikin pengguna jadi mikir worth it apa kagak.",1,negatif
Irgie maulana halim,"oy babi sediain fitur pembayaran lain kek,males banget harus pake link aja,gak enak banget gak bisa pake pembayaran indomart, karena atm disini jauh²",1,negatif
Irgie maulana halim,"oy babi sediain fitur pembayaran lain kek,males banget harus pake link aja,gak enak banget gak bisa pake pembayaran indomart, karena atm disini jauh²",1,negatif
Dicky Arya Pratama,Pendafatran ribet,3,negatif
Dicky Arya Pratama,Pendafatran ribet,3,negatif
Jason Sontoloyo,sekarang aplikasinya sering bgt not responding,2,negatif
Jason Sontoloyo,sekarang aplikasinya sering bgt not responding,2,negatif
Aditia Dwi Putra,"Kenapa tiket ka lokal gk bisa di batalin, dan tiketnya enggak masuk dalam pembatalannya, mana lemot juga",1,negatif
Aditia Dwi Putra,"Kenapa tiket ka lokal gk bisa di batalin, dan tiketnya enggak masuk dalam pembatalannya, mana lemot juga",1,negatif
Samsul Jragan,Saya suka sekali ketika awalan masuk apk. Dan akhir nya saya pilih metode bayar di Alfamart malah ada scan dan linkaja. Tapi ketika aku scan teryata nggak bisa. Di situlah saya rugi🤦,1,negatif
Samsul Jragan,Saya suka sekali ketika awalan masuk apk. Dan akhir nya saya pilih metode bayar di Alfamart malah ada scan dan linkaja. Tapi ketika aku scan teryata nggak bisa. Di situlah saya rugi🤦,1,negatif
MrKyociro,Aplikasii bututtt!!! Sering hang... Padahal sdh update 2kali dan install ulang tetap saja hang waktu mau melakukan pembayaran. Mau bayar saja tunggu 15 menit.. kdg gagal lagi.,1,negatif
Muhammad Sobri,Tiap mau pesan tiket kenapa lgsg nge freeze ya tampilan nya?,1,negatif
Prasko,Sippp,4,positif
Muhammad Sobri,Tiap mau pesan tiket kenapa lgsg nge freeze ya tampilan nya?,1,negatif
Dhantel Rhesa Prawedha,"masa pembayaran cuma bisa lewat link aja, maksa betul. bikin pusing. harusnya ada transfer bank.",3,negatif
Dhantel Rhesa Prawedha,"masa pembayaran cuma bisa lewat link aja, maksa betul. bikin pusing. harusnya ada transfer bank.",3,negatif
Aris Sugiarto,Aplikasi ribet gak jelas eroor,1,negatif
Aris Sugiarto,Aplikasi ribet gak jelas eroor,1,negatif
Adinda Tifara Vaniandita,Mau login aja muter mulu gimana ini,3,negatif
Adinda Tifara Vaniandita,Mau login aja muter mulu gimana ini,3,negatif
Zikri Farhan,"Aplikasi terlemot mau pesen loading lama banget anjingg lah, hapus aja aplikasi kai access gk guna bikin emosi iya",1,negatif
Yoga Mei Wantara,Mantap. Udah berhasil mesenin tiket KA buat teman 👍,3,positif
Yoga Mei Wantara,Mantap. Udah berhasil mesenin tiket KA buat teman 👍,3,positif
Zikri Farhan,"Aplikasi terlemot mau pesen loading lama banget anjingg lah, hapus aja aplikasi kai access gk guna bikin emosi iya",1,negatif
Deny Wicaksono,APLIKASI NYA DIPERBAIKI LEMOTTT,1,negatif
Deny Wicaksono,APLIKASI NYA DIPERBAIKI LEMOTTT,1,negatif
Hannief Putra,Lemot parah,1,negatif
Aryandi Noer,Untuk antigen stasiun di surabaya 24jam apa engga yah,4,netral
Aryandi Noer,Untuk antigen stasiun di surabaya 24jam apa engga yah,4,netral
Jaya Perkasa,Bagus coy,5,positif
Novel Ardika,Makin lemot..,1,negatif
Husnul Hotijah,"Bad banget login aja gk bisa"" udah berulang kali klik masuk tapi gk ada yang berubah masih tetep dihalaman login, gk habis pikir kok sekarang aplikasinya jadi gini padahal dulu lancar"" aja.",1,negatif
Great Agung,Alhamdulillah makin gokil sejak ada Kai Pay pembayaran lebih mudah. Semoga KAI makin sukses..,5,positif
Great Agung,Alhamdulillah makin gokil sejak ada Kai Pay pembayaran lebih mudah. Semoga KAI makin sukses..,5,positif
seno aji,ok,5,positif
Husnul Hotijah,"Bad banget login aja gk bisa"" udah berulang kali klik masuk tapi gk ada yang berubah masih tetep dihalaman login, gk habis pikir kok sekarang aplikasinya jadi gini padahal dulu lancar"" aja.",1,negatif
Lucky Rakananda Hasandy,"Aplikasi aneh, terpantau masih gk bisa ngisi data diri 🥲🥲🥲",1,negatif
Lucky Rakananda Hasandy,"Aplikasi aneh, terpantau masih gk bisa ngisi data diri 🥲🥲🥲",1,negatif
Tammala Sari,"Supeer dupeer Lemot sekaliiiiiiii skali tahap harus bbrapa menit smpai akirnya waktu sll habis..dicoba berulang"" sama saja..sampai hapus aplikasi dan install lagi..ehh sama sj...percuma ada aplikasi..niat ingin mudah pesen tiket melalui hp..endingnya trpaksa harus dtg ke loket stasiun..sebenernya pcuma jg komen bgni..tetap sj lemot aplikasinya",1,negatif
buas elits,menyenangkan menggunakan tranportasi kereta api,5,positif
buas elits,menyenangkan menggunakan tranportasi kereta api,5,positif
Tammala Sari,"Supeer dupeer Lemot sekaliiiiiiii skali tahap harus bbrapa menit smpai akirnya waktu sll habis..dicoba berulang"" sama saja..sampai hapus aplikasi dan install lagi..ehh sama sj...percuma ada aplikasi..niat ingin mudah pesen tiket melalui hp..endingnya trpaksa harus dtg ke loket stasiun..sebenernya pcuma jg komen bgni..tetap sj lemot aplikasinya",1,negatif
Daman Huri,Tambah ribet tdk bisa login,1,negatif
Daman Huri,Tambah ribet tdk bisa login,1,negatif
Daman Huri,Tambah ribet tdk bisa login,1,negatif
Mohamad Tolani,Mantap,3,positif
Joni Prasetyowono,"App nya harus masuk lagi, dan sdh lupa password. Mau masuk lg atau daftar lg sulit!!! Padahal sebelumnya sgt mudah",1,negatif
Joni Prasetyowono,"App nya harus masuk lagi, dan sdh lupa password. Mau masuk lg atau daftar lg sulit!!! Padahal sebelumnya sgt mudah",1,negatif
abimata rajendra,Sekarang kok gak bisa pesen tiket kereta lokal ya,1,negatif
Suyani Irontono,Sngat membantu dlam pemesanan,5,positif
Suyani Irontono,Sngat membantu dlam pemesanan,5,positif
abimata rajendra,Sekarang kok gak bisa pesen tiket kereta lokal ya,1,negatif
Muhammad Rizki,"Ini apk udh didownload tapi pas dibuka malah blank putih kaga gerak"", kaga masuk"" ke apk nya",2,negatif
Muhammad Rizki,"Ini apk udh didownload tapi pas dibuka malah blank putih kaga gerak"", kaga masuk"" ke apk nya",2,negatif
"RIO,SURABAYA",Susah banget sih reset password,1,negatif
"RIO,SURABAYA",Susah banget sih reset password,1,negatif
ila diazmi isticandy,"Baru install beberapa hari yg lalu mau pesan prameks udh di bayar pake app pas sampai pintu loket tiketnya gak bisa di buka tulisannya 'anda belum memesan tiket' untung ngide beli tiket lagi akhirnya ke deteksi klo sudah beli. Gara2 begini hampir aja ketinggalan prameks, gak kebayang si sama yg dateng ke stasiunnya pas waktu mepet apes banget .",3,negatif
Rahmat Alamiin,Mantap,5,positif
ila diazmi isticandy,"Baru install beberapa hari yg lalu mau pesan prameks udh di bayar pake app pas sampai pintu loket tiketnya gak bisa di buka tulisannya 'anda belum memesan tiket' untung ngide beli tiket lagi akhirnya ke deteksi klo sudah beli. Gara2 begini hampir aja ketinggalan prameks, gak kebayang si sama yg dateng ke stasiunnya pas waktu mepet apes banget .",3,negatif
Aldy Akbar,"Aplikasinya lemot, apalagi pas mau proses pembayaran itu kan ada waktu pemesanan tpi kalo metode pembayaranya aja ga muncul mucul gimna mau bayar kbru abis waktunya, dicba berkali kali sma aja",1,negatif
Aldy Akbar,"Aplikasinya lemot, apalagi pas mau proses pembayaran itu kan ada waktu pemesanan tpi kalo metode pembayaranya aja ga muncul mucul gimna mau bayar kbru abis waktunya, dicba berkali kali sma aja",1,negatif
Mudjib 1,"Naik ka sekarang ribet, harus ini itu, padahal sdh normal.",1,negatif
Ananda Dirgant Dewantara,Sangat bermanfaat,5,positif
ary wahyudi,Bintang yg bicara,4,positif
ary wahyudi,Bintang yg bicara,4,positif
